Species,TWTwNo,Dataset
Prunus jamasakura,18358,Train
Prunus jamasakura,15534,Train
Prunus jamasakura,4330,Train
Prunus jamasakura,1137,Train
Prunus jamasakura,13309,Train
Prunus jamasakura,14731,Train
Prunus jamasakura,12251,Train
Prunus jamasakura,19541,Train
Prunus jamasakura,20169,Train
Prunus jamasakura,20181,Train
Prunus jamasakura,21129,Train
Prunus jamasakura,21019,Train
Deutzia crenata,21949,Train
Deutzia crenata,18533,Train
Deutzia crenata,18871,Train
Deutzia crenata,17080,Train
Deutzia crenata,15831,Train
Deutzia crenata,14854,Train
Deutzia crenata,15639,Train
Deutzia crenata,2887,Train
Deutzia crenata,19034,Train
Deutzia crenata,20184,Train
Deutzia crenata,20192,Train
Deutzia crenata,21219,Train
Hydrangea paniculata,23716,Train
Hydrangea paniculata,18624,Train
Hydrangea paniculata,18811,Train
Hydrangea paniculata,19118,Train
Hydrangea paniculata,18110,Train
Hydrangea paniculata,17000,Train
Hydrangea paniculata,17560,Train
Hydrangea paniculata,15883,Train
Hydrangea paniculata,20497,Train
Hydrangea paniculata,21164,Train
Hydrangea paniculata,21215,Train
Hydrangea paniculata,22699,Train
Schizophragma hydrangeoides,18476,Train
Schizophragma hydrangeoides,19005,Train
Schizophragma hydrangeoides,18160,Train
Schizophragma hydrangeoides,13968,Train
Schizophragma hydrangeoides,14158,Train
Schizophragma hydrangeoides,16064,Train
Schizophragma hydrangeoides,16192,Train
Schizophragma hydrangeoides,20592,Train
Schizophragma hydrangeoides,20307,Train
Schizophragma hydrangeoides,20989,Train
Schizophragma hydrangeoides,22730,Train
Schizophragma hydrangeoides,21919,Train
Stachyurus praecox,23663,Train
Stachyurus praecox,18389,Train
Stachyurus praecox,5681,Train
Stachyurus praecox,13907,Train
Stachyurus praecox,16969,Train
Stachyurus praecox,14363,Train
Stachyurus praecox,4298,Train
Stachyurus praecox,14811,Train
Stachyurus praecox,20488,Train
Stachyurus praecox,21118,Train
Stachyurus praecox,22693,Train
Stachyurus praecox,21534,Train
Euscaphis japonica,22615,Train
Euscaphis japonica,18365,Train
Euscaphis japonica,16055,Train
Euscaphis japonica,15827,Train
Euscaphis japonica,738,Train
Euscaphis japonica,15510,Train
Euscaphis japonica,3391,Train
Euscaphis japonica,19564,Train
Euscaphis japonica,19146,Train
Euscaphis japonica,19429,Train
Euscaphis japonica,21178,Train
Euscaphis japonica,21373,Train
Styrax japonica,22584,Train
Styrax japonica,23488,Train
Styrax japonica,23710,Train
Styrax japonica,18474,Train
Styrax japonica,19083,Train
Styrax japonica,19035,Train
Styrax japonica,16056,Train
Styrax japonica,17352,Train
Styrax japonica,16956,Train
Styrax japonica,19194,Train
Styrax japonica,19503,Train
Styrax japonica,21910,Train
Camellia japonica,22552,Train
Camellia japonica,23656,Train
Camellia japonica,18521,Train
Camellia japonica,6849,Train
Camellia japonica,15157,Train
Camellia japonica,16155,Train
Camellia japonica,411,Train
Camellia japonica,14856,Train
Camellia japonica,19547,Train
Camellia japonica,19084,Train
Camellia japonica,19935,Train
Camellia japonica,21640,Train
Eurya japonica,18430,Train
Eurya japonica,18852,Train
Eurya japonica,440,Train
Eurya japonica,15001,Train
Eurya japonica,15174,Train
Eurya japonica,15825,Train
Eurya japonica,16077,Train
Eurya japonica,17335,Train
Eurya japonica,16947,Train
Eurya japonica,19507,Train
Eurya japonica,19929,Train
Eurya japonica,21020,Train
Callicarpa japonica,21950,Train
Callicarpa japonica,23607,Train
Callicarpa japonica,16313,Train
Callicarpa japonica,15832,Train
Callicarpa japonica,15886,Train
Callicarpa japonica,17577,Train
Callicarpa japonica,5637,Train
Callicarpa japonica,18071,Train
Callicarpa japonica,4365,Train
Callicarpa japonica,19922,Train
Callicarpa japonica,20589,Train
Callicarpa japonica,21378,Train
Prunus jamasakura,4285,Validation
Prunus jamasakura,558,Validation
Prunus jamasakura,20263,Validation
Deutzia crenata,22619,Validation
Deutzia crenata,18486,Validation
Deutzia crenata,16312,Validation
Hydrangea paniculata,14851,Validation
Hydrangea paniculata,16946,Validation
Hydrangea paniculata,21892,Validation
Schizophragma hydrangeoides,18644,Validation
Schizophragma hydrangeoides,14836,Validation
Schizophragma hydrangeoides,14837,Validation
Stachyurus praecox,18069,Validation
Stachyurus praecox,17533,Validation
Stachyurus praecox,19102,Validation
Euscaphis japonica,23345,Validation
Euscaphis japonica,18810,Validation
Euscaphis japonica,19546,Validation
Styrax japonica,23296,Validation
Styrax japonica,18905,Validation
Styrax japonica,20935,Validation
Camellia japonica,18886,Validation
Camellia japonica,15624,Validation
Camellia japonica,21201,Validation
Eurya japonica,22495,Validation
Eurya japonica,19450,Validation
Eurya japonica,21166,Validation
Callicarpa japonica,22538,Validation
Callicarpa japonica,6321,Validation
Callicarpa japonica,19797,Validation
Prunus jamasakura,14807,Test
Prunus jamasakura,80,Test
Prunus jamasakura,16196,Test
Prunus jamasakura,19664,Test
Prunus jamasakura,21575,Test
Deutzia crenata,23490,Test
Deutzia crenata,18588,Test
Deutzia crenata,15535,Test
Deutzia crenata,17555,Test
Deutzia crenata,21533,Test
Hydrangea paniculata,13946,Test
Hydrangea paniculata,16277,Test
Hydrangea paniculata,19915,Test
Hydrangea paniculata,21000,Test
Hydrangea paniculata,21414,Test
Schizophragma hydrangeoides,23632,Test
Schizophragma hydrangeoides,17556,Test
Schizophragma hydrangeoides,13970,Test
Schizophragma hydrangeoides,21222,Test
Schizophragma hydrangeoides,21586,Test
Stachyurus praecox,23378,Test
Stachyurus praecox,15941,Test
Stachyurus praecox,408,Test
Stachyurus praecox,21009,Test
Stachyurus praecox,21387,Test
Euscaphis japonica,23277,Test
Euscaphis japonica,14859,Test
