Species,TWTwNo,Dataset
Acer sieboldianum,18424,Train
Acer sieboldianum,19601,Train
Acer sieboldianum,19108,Train
Acer sieboldianum,20530,Train
Acer sieboldianum,21565,Train
Acer sieboldianum,17017,Train
Acer sieboldianum,16953,Train
Acer sieboldianum,15911,Train
Acer sieboldianum,13969,Train
Acer sieboldianum,13892,Train
Acer sieboldianum,14822,Train
Acer sieboldianum,1232,Train
Actinidia arguta,22559,Train
Actinidia arguta,22642,Train
Actinidia arguta,18461,Train
Actinidia arguta,19937,Train
Actinidia arguta,19848,Train
Actinidia arguta,20208,Train
Actinidia arguta,20268,Train
Actinidia arguta,20591,Train
Actinidia arguta,21523,Train
Actinidia arguta,13947,Train
Actinidia arguta,16308,Train
Actinidia arguta,17042,Train
Rhus javanica,23362,Train
Rhus javanica,23625,Train
Rhus javanica,18606,Train
Rhus javanica,19594,Train
Rhus javanica,19495,Train
Rhus javanica,19188,Train
Rhus javanica,22722,Train
Rhus javanica,1147,Train
Rhus javanica,14919,Train
Rhus javanica,2867,Train
Rhus javanica,4363,Train
Rhus javanica,14840,Train
Rhus trichocarpa,21995,Train
Rhus trichocarpa,23404,Train
Rhus trichocarpa,23436,Train
Rhus trichocarpa,23717,Train
Rhus trichocarpa,20236,Train
Rhus trichocarpa,21198,Train
Rhus trichocarpa,21558,Train
Rhus trichocarpa,430,Train
Rhus trichocarpa,13329,Train
Rhus trichocarpa,18033,Train
Rhus trichocarpa,3385,Train
Rhus trichocarpa,18981,Train
Ilex macropoda,23384,Train
Ilex macropoda,18638,Train
Ilex macropoda,18513,Train
Ilex macropoda,19599,Train
Ilex macropoda,19060,Train
Ilex macropoda,19814,Train
Ilex macropoda,21555,Train
Ilex macropoda,21907,Train
Ilex macropoda,17580,Train
Ilex macropoda,17013,Train
Ilex macropoda,14813,Train
Ilex macropoda,3387,Train
Aralia elata,21934,Train
Aralia elata,21943,Train
Aralia elata,22644,Train
Aralia elata,23397,Train
Aralia elata,21389,Train
Aralia elata,14789,Train
Aralia elata,407,Train
Aralia elata,2868,Train
Aralia elata,12843,Train
Aralia elata,14758,Train
Aralia elata,17045,Train
Aralia elata,18171,Train
Betura grossa,21960,Train
Betura grossa,22005,Train
Betura grossa,19214,Train
Betura grossa,19913,Train
Betura grossa,21350,Train
Betura grossa,21667,Train
Betura grossa,17553,Train
Betura grossa,4386,Train
Betura grossa,13936,Train
Betura grossa,14800,Train
Betura grossa,1163,Train
Betura grossa,18829,Train
Carpinus laxiflora,23475,Train
Carpinus laxiflora,18469,Train
Carpinus laxiflora,19690,Train
Carpinus laxiflora,20584,Train
Carpinus laxiflora,21556,Train
Carpinus laxiflora,17573,Train
Carpinus laxiflora,4281,Train
Carpinus laxiflora,6384,Train
Carpinus laxiflora,14802,Train
Carpinus laxiflora,16181,Train
Carpinus laxiflora,16955,Train
Carpinus laxiflora,9305,Train
Carpinus japonica,18735,Train
Carpinus japonica,18437,Train
Carpinus japonica,19962,Train
Carpinus japonica,21167,Train
Carpinus japonica,22714,Train
Carpinus japonica,14858,Train
Carpinus japonica,15876,Train
Carpinus japonica,15894,Train
Carpinus japonica,1133,Train
Carpinus japonica,17543,Train
Carpinus japonica,13961,Train
Carpinus japonica,18137,Train
Viburnum furcatum,19731,Train
Viburnum furcatum,20529,Train
Viburnum furcatum,21422,Train
Viburnum furcatum,16043,Train
Viburnum furcatum,13925,Train
Viburnum furcatum,17987,Train
Viburnum furcatum,2873,Train
Viburnum furcatum,17559,Train
Viburnum furcatum,14832,Train
Viburnum furcatum,18597,Train
Viburnum furcatum,18164,Train
Viburnum furcatum,18085,Train
Viburnum dilatatum,22627,Train
Viburnum dilatatum,23442,Train
Viburnum dilatatum,23622,Train
Viburnum dilatatum,18414,Train
Viburnum dilatatum,18851,Train
Viburnum dilatatum,19050,Train
Viburnum dilatatum,19775,Train
Viburnum dilatatum,14346,Train
Viburnum dilatatum,2890,Train
Viburnum dilatatum,14767,Train
Viburnum dilatatum,5691,Train
Viburnum dilatatum,17549,Train
Euonymus oxyphyllus,21990,Train
Euonymus oxyphyllus,22039,Train
Euonymus oxyphyllus,18594,Train
Euonymus oxyphyllus,18741,Train
Euonymus oxyphyllus,18388,Train
Euonymus oxyphyllus,19893,Train
Euonymus oxyphyllus,19824,Train
Euonymus oxyphyllus,21100,Train
Euonymus oxyphyllus,21564,Train
Euonymus oxyphyllus,15930,Train
Euonymus oxyphyllus,15880,Train
Euonymus oxyphyllus,15877,Train
Clethra barbinervis,18636,Train
Clethra barbinervis,18547,Train
Clethra barbinervis,19040,Train
Clethra barbinervis,19895,Train
Clethra barbinervis,20494,Train
Clethra barbinervis,21547,Train
Clethra barbinervis,18177,Train
Clethra barbinervis,16042,Train
Clethra barbinervis,4290,Train
Clethra barbinervis,4354,Train
Clethra barbinervis,15834,Train
Clethra barbinervis,419,Train
Aucuba japonica,18532,Train
Aucuba japonica,19533,Train
Aucuba japonica,21594,Train
